list_name,name,label,municipiu_filter,postu_adm_filter,suco_filter
jg0hi40,feto,Feto,,,
jg0hi40,mane,Mane,,,
Municipality,Aileu,Aileu,,,
Municipality,Ainaro,Ainaro,,,
Municipality,Baucau,Baucau,,,
Municipality,Bobonaro,Bobonaro,,,
Municipality,Covalima,Covalima,,,
Municipality,Dili,Dili,,,
Municipality,Ermera,Ermera,,,
Municipality,Lautém,Lautém,,,
Municipality,Liquiçá,Liquiçá,,,
Municipality,Manatuto,Manatuto,,,
Municipality,Manufahi,Manufahi,,,
Municipality,Oe-Cusse,Oe-Cusse,,,
Municipality,Viqueque,Viqueque,,,
Administrative_Post,Aileu,Aileu,Aileu,,
Administrative_Post,Laulara,Laulara,Aileu,,
Administrative_Post,Lequidoe,Lequidoe,Aileu,,
Administrative_Post,Remexio,Remexio,Aileu,,
Administrative_Post,Ainaro,Ainaro,Ainaro,,
Administrative_Post,Hato-Udo,Hato-Udo,Ainaro,,
Administrative_Post,Hato-Builico,Hato-Builico,Ainaro,,
Administrative_Post,Maubisse,Maubisse,Ainaro,,
Administrative_Post,Baguia,Baguia,Baucau,,
Administrative_Post,Baucau,Baucau,Baucau,,
Administrative_Post,Laga,Laga,Baucau,,
Administrative_Post,Quelicai,Quelicai,Baucau,,
Administrative_Post,Vemasse,Vemasse,Baucau,,
Administrative_Post,Venilale,Venilale,Baucau,,
Administrative_Post,Atabae,Atabae,Bobonaro,,
Administrative_Post,Balibo,Balibo,Bobonaro,,
Administrative_Post,Bobonaro,Bobonaro,Bobonaro,,
Administrative_Post,Cailaco,Cailaco,Bobonaro,,
Administrative_Post,Lolotoe,Lolotoe,Bobonaro,,
Administrative_Post,Maliana,Maliana,Bobonaro,,
Administrative_Post,Fatululic,Fatululic,Covalima,,
Administrative_Post,Fatumean,Fatumean,Covalima,,
Administrative_Post,Fohorem,Fohorem,Covalima,,
Administrative_Post,Maucatar,Maucatar,Covalima,,
Administrative_Post,Suai,Suai,Covalima,,
Administrative_Post,Tilomar,Tilomar,Covalima,,
Administrative_Post,Zumalai,Zumalai,Covalima,,
Administrative_Post,Atauro,Atauro,Dili,,
Administrative_Post,Cristo_Rei,Cristo Rei,Dili,,
Administrative_Post,Dom_Aleixo,Dom Aleixo,Dili,,
Administrative_Post,Metinaro,Metinaro,Dili,,
Administrative_Post,Nain_Feto,Nain Feto,Dili,,
Administrative_Post,Vera_Cruz,Vera Cruz,Dili,,
Administrative_Post,Atsabe,Atsabe,Ermera,,
Administrative_Post,Ermera,Ermera,Ermera,,
Administrative_Post,Hatulia,Hatulia,Ermera,,
Administrative_Post,Letefoho,Letefoho,Ermera,,
Administrative_Post,Railaco,Railaco,Ermera,,
Administrative_Post,Iliomar,Iliomar,Lautém,,
Administrative_Post,Lautém,Lautém,Lautém,,
Administrative_Post,Lospalos,Lospalos,Lautém,,
Administrative_Post,Luro,Luro,Lautém,,
Administrative_Post,Tutuala,Tutuala,Lautém,,
Administrative_Post,Bazartete,Bazartete,Liquiçá,,
Administrative_Post,Liquiçá,Liquiçá,Liquiçá,,
Administrative_Post,Maubara,Maubara,Liquiçá,,
Administrative_Post,Barique,Barique,Manatuto,,
Administrative_Post,Lacló,Lacló,Manatuto,,
Administrative_Post,Laclubar,Laclubar,Manatuto,,
Administrative_Post,Laleia,Laleia,Manatuto,,
Administrative_Post,Manatuto,Manatuto,Manatuto,,
Administrative_Post,Soibada,Soibada,Manatuto,,
Administrative_Post,Alas,Alas,Manufahi,,
Administrative_Post,Fatuberliu,Fatuberliu,Manufahi,,
Administrative_Post,Same,Same,Manufahi,,
Administrative_Post,Turiscai,Turiscai,Manufahi,,
Administrative_Post,Nitibe,Nitibe,Oe-Cusse,,
Administrative_Post,Oesilo,Oesilo,Oe-Cusse,,
Administrative_Post,Pante_Macassar,Pante Macassar,Oe-Cusse,,
Administrative_Post,Passabe,Passabe,Oe-Cusse,,
Administrative_Post,Lacluta,Lacluta,Viqueque,,
Administrative_Post,Ossu,Ossu,Viqueque,,
Administrative_Post,Uato-Lari,Uato-Lari,Viqueque,,
Administrative_Post,Uato-Carbau,Uato-Carbau,Viqueque,,
Administrative_Post,Viqueque,Viqueque,Viqueque,,
Suco,10101,Aissirimou,Aileu,Aileu,
Suco,10102,Bandudato,Aileu,Aileu,
Suco,10103,Fahiria,Aileu,Aileu,
Suco,10104,Fatubossa,Aileu,Aileu,
Suco,10105,Hoholau,Aileu,Aileu,
Suco,10106,Lahae,Aileu,Aileu,
Suco,10107,Lausi,Aileu,Aileu,
Suco,10112,Lequitura,Aileu,Aileu,
Suco,10108,Saboria,Aileu,Aileu,
Suco,10109,Seloi Craic,Aileu,Aileu,
Suco,10110,Seloi Malere,Aileu,Aileu,
Suco,10111,Suco Liurai,Aileu,Aileu,
Suco,10206,Bocolelo,Aileu,Laulara,
Suco,10201,Cotolau,Aileu,Laulara,
Suco,10202,Fatisi,Aileu,Laulara,
Suco,10203,Madabeno,Aileu,Laulara,
Suco,10204,Talitu,Aileu,Laulara,
Suco,10205,Tohumeta,Aileu,Laulara,
Suco,10301,Acubilitoho,Aileu,Lequidoe,
Suco,10302,Bereleu,Aileu,Lequidoe,
Suco,10303,Betulau,Aileu,Lequidoe,
Suco,10304,Fahisoi,Aileu,Lequidoe,
Suco,10305,Faturilau,Aileu,Lequidoe,
Suco,10306,Manucassa,Aileu,Lequidoe,
Suco,10307,Namolesso,Aileu,Lequidoe,
Suco,10401,Acumau,Aileu,Remexio,
Suco,10402,Fadabloco,Aileu,Remexio,
Suco,10403,Fahisoi,Aileu,Remexio,
Suco,10404,Faturasa,Aileu,Remexio,
Suco,10405,Hautoho,Aileu,Remexio,
Suco,10406,Maumeta,Aileu,Remexio,
Suco,10407,Suco Liurai,Aileu,Remexio,
Suco,10408,Tulataqueo,Aileu,Remexio,
Suco,20101,Ainaro,Ainaro,Ainaro,
Suco,20102,Cassa,Ainaro,Ainaro,
Suco,20103,Manutaci,Ainaro,Ainaro,
Suco,20104,Mau-Nuno,Ainaro,Ainaro,
Suco,20105,Mau-Ulo,Ainaro,Ainaro,
Suco,20106,Soro,Ainaro,Ainaro,
Suco,20107,Suro-Craic,Ainaro,Ainaro,
Suco,20201,Foho-Ai-Lico,Ainaro,Hato-Udo,
Suco,20202,Leolima,Ainaro,Hato-Udo,
Suco,20301,Mauchiga,Ainaro,Hato-Builico,
Suco,20302,Mulo,Ainaro,Hato-Builico,
Suco,20303,Nuno-Mogue,Ainaro,Hato-Builico,
Suco,20401,Aituto,Ainaro,Maubisse,
Suco,20402,Edi,Ainaro,Maubisse,
Suco,20403,Fatubessi,Ainaro,Maubisse,
Suco,20404,Horai-Quic,Ainaro,Maubisse,
Suco,20405,Suco Liurai,Ainaro,Maubisse,
Suco,20406,Manelobas,Ainaro,Maubisse,
Suco,20407,Manetú,Ainaro,Maubisse,
Suco,20408,Maubisse,Ainaro,Maubisse,
Suco,20409,Maulau,Ainaro,Maubisse,
Suco,30101,Afaloicai,Baucau,Baguia,
Suco,30102,Alaua Craic,Baucau,Baguia,
Suco,30103,Alaua Leten,Baucau,Baguia,
Suco,30104,Defauasi,Baucau,Baguia,
Suco,30105,Hae Coni,Baucau,Baguia,
Suco,30106,Larisula,Baucau,Baguia,
Suco,30107,Lavateri,Baucau,Baguia,
Suco,30108,Osso Huna,Baucau,Baguia,
Suco,30109,Samalari,Baucau,Baguia,
Suco,30110,Uacala,Baucau,Baguia,
Suco,30201,Bahu,Baucau,Baucau,
Suco,30202,Bucoli,Baucau,Baucau,
Suco,30203,Buibau,Baucau,Baucau,
Suco,30204,Buruma,Baucau,Baucau,
Suco,30205,Caibada,Baucau,Baucau,
Suco,30206,Gariuai,Baucau,Baucau,
Suco,30207,Samalari,Baucau,Baucau,
Suco,30208,Seiçal,Baucau,Baucau,
Suco,30209,Tirilolo,Baucau,Baucau,
Suco,30210,Triloca,Baucau,Baucau,
Suco,30211,Uailili,Baucau,Baucau,
Suco,30301,Atelari,Baucau,Laga,
Suco,30302,Libagua,Baucau,Laga,
Suco,30303,Nunira,Baucau,Laga,
Suco,30304,Saelari,Baucau,Laga,
Suco,30305,Sagadate,Baucau,Laga,
Suco,30306,Samalari,Baucau,Laga,
Suco,30307,Soba,Baucau,Laga,
Suco,30308,Tequinaumata,Baucau,Laga,
Suco,30401,Abafala,Baucau,Quelicai,
Suco,30402,Abo,Baucau,Quelicai,
Suco,30403,Afaçá,Baucau,Quelicai,
Suco,30404,Baguia,Baucau,Quelicai,
Suco,30405,Bualale,Baucau,Quelicai,
Suco,30406,Guruçá,Baucau,Quelicai,
Suco,30407,Lacoliu,Baucau,Quelicai,
Suco,30408,Laisorolai De Baixo,Baucau,Quelicai,
Suco,30409,Laisorolai De Cima,Baucau,Quelicai,
Suco,30410,Lelalai,Baucau,Quelicai,
Suco,30411,Letemumo,Baucau,Quelicai,
Suco,30412,Macalaco,Baucau,Quelicai,
Suco,30413,Maluro,Baucau,Quelicai,
Suco,30414,Namanei,Baucau,Quelicai,
Suco,30415,Uaitame,Baucau,Quelicai,
Suco,30501,Caicua,Baucau,Vemasse,
Suco,30502,Loilubo,Baucau,Vemasse,
Suco,30503,Ossouala,Baucau,Vemasse,
Suco,30504,Ostico,Baucau,Vemasse,
Suco,30505,Uaigae,Baucau,Vemasse,
Suco,30506,Uato-Lari,Baucau,Vemasse,
Suco,30507,Vemasse,Baucau,Vemasse,
Suco,30601,Bado-Ho'o,Baucau,Venilale,
Suco,30602,Baha Mori,Baucau,Venilale,
Suco,30603,Fatulia,Baucau,Venilale,
Suco,30604,Uai Oli,Baucau,Venilale,
Suco,30605,Uailaha,Baucau,Venilale,
Suco,30606,Uatu Haco,Baucau,Venilale,
Suco,30607,Uma Ana Ico,Baucau,Venilale,
Suco,30608,Uma Ana Ulo,Baucau,Venilale,
Suco,40101,Aidabaleten,Bobonaro,Atabae,
Suco,40102,Atabae,Bobonaro,Atabae,
Suco,40103,Hataz,Bobonaro,Atabae,
Suco,40104,Rairobo,Bobonaro,Atabae,
Suco,40201,Balibo Vila,Bobonaro,Balibo,
Suco,40202,Batugade,Bobonaro,Balibo,
Suco,40203,Coua,Bobonaro,Balibo,
Suco,40204,Leohito,Bobonaro,Balibo,
Suco,40205,Leolima,Bobonaro,Balibo,
Suco,40206,Sanirin,Bobonaro,Balibo,
Suco,40301,Ai-Assa,Bobonaro,Bobonaro,
Suco,40302,Atu-Aben,Bobonaro,Bobonaro,
Suco,40303,Bobonaro,Bobonaro,Bobonaro,
Suco,40304,Carabau,Bobonaro,Bobonaro,
Suco,40305,Colimau,Bobonaro,Bobonaro,
Suco,40306,Cota Bo'ot,Bobonaro,Bobonaro,
Suco,40307,Ilat-Laun,Bobonaro,Bobonaro,
Suco,40308,Leber,Bobonaro,Bobonaro,
Suco,40309,Lour,Bobonaro,Bobonaro,
Suco,40310,Lourba,Bobonaro,Bobonaro,
Suco,40311,Maliubu,Bobonaro,Bobonaro,
Suco,40312,Malilait,Bobonaro,Bobonaro,
Suco,40313,Molop,Bobonaro,Bobonaro,
Suco,40314,Oeleo,Bobonaro,Bobonaro,
Suco,40315,Sibuni,Bobonaro,Bobonaro,
Suco,40316,Soileco,Bobonaro,Bobonaro,
Suco,40317,Tapo,Bobonaro,Bobonaro,
Suco,40318,Tebabui,Bobonaro,Bobonaro,
Suco,40401,Atudara,Bobonaro,Cailaco,
Suco,40402,Dau Udo,Bobonaro,Cailaco,
Suco,40403,Goulolo,Bobonaro,Cailaco,
Suco,40404,Guenu Lai,Bobonaro,Cailaco,
Suco,40405,Manapa,Bobonaro,Cailaco,
Suco,40406,Meligo,Bobonaro,Cailaco,
Suco,40407,Purugua,Bobonaro,Cailaco,
Suco,40408,Raiheu,Bobonaro,Cailaco,
Suco,40501,Deudet,Bobonaro,Lolotoe,
Suco,40502,Gildapil,Bobonaro,Lolotoe,
Suco,40503,Guda,Bobonaro,Lolotoe,
Suco,40504,Lebos,Bobonaro,Lolotoe,
Suco,40505,Lontas,Bobonaro,Lolotoe,
Suco,40506,Lupal,Bobonaro,Lolotoe,
Suco,40507,Opa,Bobonaro,Lolotoe,
Suco,40601,Holsa,Bobonaro,Maliana,
Suco,40602,Lahomea,Bobonaro,Maliana,
Suco,40603,Odomau,Bobonaro,Maliana,
Suco,40604,Raifun,Bobonaro,Maliana,
Suco,40605,Ritabou,Bobonaro,Maliana,
